ticker,yfExchange,convertedExchange
PYPL,BA,BCBA
GARO,BA,BCBA
IFF,BA,BCBA
YELP,BA,BCBA
MELI,BA,BCBA
CRES,BA,BCBA
HMY,BA,BCBA
WBO,BA,BCBA
QCOM,BA,BCBA
SNAP,BA,BCBA
INTC,BA,BCBA
SEMI,BA,BCBA
ADI,BA,BCBA
ERIC,BA,BCBA
BIDU,BA,BCBA
NVDA,BA,BCBA
MMM,BA,BCBA
GCDI,BA,BCBA
TRIP,BA,BCBA
TMO,BA,BCBA
DYCA,BA,BCBA
TSLA,BA,BCBA
PHG,BA,BCBA
HAVA,BA,BCBA
GLW,BA,BCBA
HDB,BA,BCBA
BABA,BA,BCBA
NKE,BA,BCBA
AMAT,BA,BCBA
BBV,BA,BCBA
AIG,BA,BCBA
MOLA,BA,BCBA
AAPL,BA,BCBA
JD,BA,BCBA
DESP,BA,BCBA
DD,BA,BCBA
AEG,BA,BCBA
NUE,BA,BCBA
PG,BA,BCBA
KO,BA,BCBA
DISN,BA,BCBA
JNJ,BA,BCBA
HSBC,BA,BCBA
VZ,BA,BCBA
EBAY,BA,BCBA
MRK,BA,BCBA
GSK,BA,BCBA
MSFT,BA,BCBA
SAP,BA,BCBA
IBM,BA,BCBA
HOG,BA,BCBA
T,BA,BCBA
E,BA,BCBA
IP,BA,BCBA
TTE,BA,BCBA
BMY,BA,BCBA
TSM,BA,BCBA
GS,BA,BCBA
BBD,BA,BCBA
GFI,BA,BCBA
BNG,BA,BCBA
PFE,BA,BCBA
NEM,BA,BCBA
FDX,BA,BCBA
ABT,BA,BCBA
KMB,BA,BCBA
BCS,BA,BCBA
DEO,BA,BCBA
SBUX,BA,BCBA
MSI,BA,BCBA
BHP,BA,BCBA
AVY,BA,BCBA
CS,BA,BCBA
BK,BA,BCBA
JPM,BA,BCBA
FCX,BA,BCBA
GOOGL,BA,BCBA
ORCL,BA,BCBA
MDT,BA,BCBA
SUZ,BA,BCBA
GOLD,BA,BCBA
ADBE,BA,BCBA
ADP,BA,BCBA
INFY,BA,BCBA
TXN,BA,BCBA
MCD,BA,BCBA
CAT,BA,BCBA
BIIB,BA,BCBA
BP,BA,BCBA
RIO,BA,BCBA
AMGN,BA,BCBA
MO,BA,BCBA
CL,BA,BCBA
CVX,BA,BCBA
AZN,BA,BCBA
BOLT,BA,BCBA
VOD,BA,BCBA
SNA,BA,BCBA
NGG,BA,BCBA
VIV,BA,BCBA
GILD,BA,BCBA
AMD,BA,BCBA
PAAS,BA,BCBA
WMT,BA,BCBA
SCCO,BA,BCBA
CELU,BA,BCBA
NVS,BA,BCBA
WFC,BA,BCBA
GE,BA,BCBA
SAN,BA,BCBA
XOM,BA,BCBA
SUPV,BA,BCBA
NFLX,BA,BCBA
DE,BA,BCBA
HPQ,BA,BCBA
CAH,BA,BCBA
ROSE,BA,BCBA
FSLR,BA,BCBA
AXP,BA,BCBA
V,BA,BCBA
LVS,BA,BCBA
BHIP,BA,BCBA
TXR,BA,BCBA
HON,BA,BCBA
GGB,BA,BCBA
COST,BA,BCBA
AMZN,BA,BCBA
X,BA,BCBA
BYMA,BA,BCBA
LLY,BA,BCBA
HMC,BA,BCBA
HL,BA,BCBA
ERJ,BA,BCBA
LOMA,BA,BCBA
ABEV,BA,BCBA
RICH,BA,BCBA
SLB,BA,BCBA
BPAT,BA,BCBA
CSCO,BA,BCBA
LMT,BA,BCBA
SBS,BA,BCBA
USB,BA,BCBA
CDE,BA,BCBA
ARCO,BA,BCBA
ORAN,BA,BCBA
METR,BA,BCBA
XROX,BA,BCBA
GAMI,BA,BCBA
PEP,BA,BCBA
HARG,BA,BCBA
C,BA,BCBA
SHEL,BA,BCBA
INTR,BA,BCBA
GCLA,BA,BCBA
RTX,BA,BCBA
TECO2,BA,BCBA
AMX,BA,BCBA
KGC,BA,BCBA
ADGO,BA,BCBA
FMX,BA,BCBA
EDSH,BA,BCBA
MMC,BA,BCBA
ROST,BA,BCBA
SYY,BA,BCBA
MFG,BA,BCBA
IBN,BA,BCBA
HD,BA,BCBA
PAC,BA,BCBA
LONG,BA,BCBA
VRSN,BA,BCBA
TIMB,BA,BCBA
CAR,BA,BCBA
ANF,BA,BCBA
RIGO,BA,BCBA
GRIM,BA,BCBA
DOME,BA,BCBA
GRMN,BA,BCBA
ING,BA,BCBA
NG,BA,BCBA
URBN,BA,BCBA
CARC,BA,BCBA
LYG,BA,BCBA
AEM,BA,BCBA
SID,BA,BCBA
MORI,BA,BCBA
VALE,BA,BCBA
PCAR,BA,BCBA
VALO,BA,BCBA
MOLI,BA,BCBA
GGAL,BA,BCBA
TGT,BA,BCBA
ITUB,BA,BCBA
YPFD,BA,BCBA
BBAR,BA,BCBA
SONY,BA,BCBA
EDN,BA,BCBA
PAMP,BA,BCBA
HWM,BA,BCBA
MTR,BA,BCBA
CVH,BA,BCBA
BSBR,BA,BCBA
TGSU2,BA,BCBA
ASR,BA,BCBA
UGP,BA,BCBA
CRM,BA,BCBA
BMA,BA,BCBA
CECO2,BA,BCBA
TV,BA,BCBA
DGCU2,BA,BCBA
BA,BA,BCBA
COME,BA,BCBA
TM,BA,BCBA
FERR,BA,BCBA
FIPL,BA,BCBA
MIRG,BA,BCBA
INVJ,BA,BCBA
BRFS,BA,BCBA
CEPU,BA,BCBA
GBAN,BA,BCBA
AGRO,BA,BCBA
TXAR,BA,BCBA
TRAN,BA,BCBA
CTIO,BA,BCBA
CADO,BA,BCBA
AUSO,BA,BCBA
OEST,BA,BCBA
EBR,BA,BCBA
CBRD,BA,BCBA
TGNO4,BA,BCBA
CGPA2,BA,BCBA
PATA,BA,BCBA
PBI,BA,BCBA
CAPX,BA,BCBA
LEDE,BA,BCBA
IRSA,BA,BCBA
SAMI,BA,BCBA
ALUA,BA,BCBA
NTCO,BA,BCBA
LOCO,VI,VIE
BEAG,VI,VIE
TWLO,VI,VIE
ABNB,VI,VIE
IRBT,VI,VIE
SEM,VI,VIE
KTN,VI,VIE
VER,VI,VIE
DISH,VI,VIE
RHIM,VI,VIE
TLRY,VI,VIE
FZM,VI,VIE
GPRO,VI,VIE
DDD,VI,VIE
VOE,VI,VIE
ICK,VI,VIE
CARR,VI,VIE
QRTE,VI,VIE
HOLX,VI,VIE
LXS,VI,VIE
FKA,VI,VIE
TKD,VI,VIE
AD2,VI,VIE
BROA,VI,VIE
EXPE,VI,VIE
SZG,VI,VIE
EVN,VI,VIE
PARA,VI,VIE
BG,VI,VIE
WDG,VI,VIE
BOCN,VI,VIE
PZX,VI,VIE
UTDI,VI,VIE
MOR,VI,VIE
IOC,VI,VIE
WI4,VI,VIE
CIGN,VI,VIE
INTU,VI,VIE
HRL,VI,VIE
CNCB,VI,VIE
PRY,VI,VIE
SHM,VI,VIE
PYPL,VI,VIE
VRLA,VI,VIE
TRIP,VI,VIE
MELI,VI,VIE
SUSE,VI,VIE
BIDU,VI,VIE
KELL,VI,VIE
DHER,VI,VIE
ELV,VI,VIE
HSIC,VI,VIE
ABIN,VI,VIE
NIB,VI,VIE
ITX,VI,VIE
BOOK,VI,VIE
SWK,VI,VIE
PMAG,VI,VIE
STZ,VI,VIE
PRLB,VI,VIE
OMV,VI,VIE
KLAC,VI,VIE
NITT,VI,VIE
MITT,VI,VIE
SYK,VI,VIE
ABC,VI,VIE
EBAY,VI,VIE
IQVH,VI,VIE
LBTA,VI,VIE
GME,VI,VIE
ZAG,VI,VIE
JD,VI,VIE
DUE,VI,VIE
JBHT,VI,VIE
BOSS,VI,VIE
TOWN,VI,VIE
MERL,VI,VIE
SON1,VI,VIE
PAL,VI,VIE
STR,VI,VIE
UQA,VI,VIE
UAA,VI,VIE
ALCA,VI,VIE
GIS,VI,VIE
VIG,VI,VIE
AYX,VI,VIE
DOC,VI,VIE
CDNS,VI,VIE
KMBC,VI,VIE
MARI,VI,VIE
CHKP,VI,VIE
SSU,VI,VIE
CLEN,VI,VIE
COL,VI,VIE
TSE1,VI,VIE
ROR1,VI,VIE
ULTA,VI,VIE
MAST,VI,VIE
INTC,VI,VIE
MMCO,VI,VIE
ATH,VI,VIE
AG1,VI,VIE
NDAQ,VI,VIE
CMCS,VI,VIE
QCOM,VI,VIE
BRKB,VI,VIE
CHTR,VI,VIE
ROK,VI,VIE
DRI,VI,VIE
AME,VI,VIE
PG,VI,VIE
ADSK,VI,VIE
PHIA,VI,VIE
AWK,VI,VIE
MRK,VI,VIE
ABBV,VI,VIE
BSXC,VI,VIE
ELE,VI,VIE
TROW,VI,VIE
ZBH,VI,VIE
BDT,VI,VIE
GOOC,VI,VIE
FDX,VI,VIE
SYNP,VI,VIE
SHWW,VI,VIE
MOCO,VI,VIE
GOOA,VI,VIE
GILD,VI,VIE
EOAN,VI,VIE
DKI,VI,VIE
DBX,VI,VIE
CMEG,VI,VIE
ABT,VI,VIE
LLYC,VI,VIE
MNST,VI,VIE
GE,VI,VIE
